No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS
44,Aceh,Kabupaten Aceh Utara,10108219,SMK NEGERI 1 TANAH LUAS,Teknik Sepeda Motor,Desain Komunikasi Visual,Pengelasan,,
45,Aceh,Kabupaten Aceh Utara,69759159,SMK NEGERI 1 BAKTIYA,Teknik Sepeda Motor,Rekayasa Perangkat Lunak,,,
46,Aceh,Kabupaten Aceh Utara,10106278,SMK NEGERI 1 MUARA BATU,Teknik Sepeda Motor,Nautika Kapal Penangkap Ikan ,,,
47,Aceh,Kabupaten Aceh Utara,10108220,SMK NEGERI 1 SYAMTALIRA ARON,Desain dan Produksi Busana,,,,
48,Aceh,Kabupaten Aceh Utara,69726919,SMK SWASTA HUMANIORA,Teknik Sepeda Motor,,,,
49,Aceh,Kabupaten Aceh Utara,70035709,SMK SWASTA ANEUK LAOT,Desain dan Produksi Busana,,,,
50,Aceh,Kabupaten Aceh Utara,70036211,SMK Swasta IT Manahilul Irfan,Kuliner,,,,
51,Aceh,Kabupaten Aceh Utara,70006104,SMK SWASTA NURUL YAQIN,Agribisnis Tanaman Pangan dan Hortikultura,,,,
52,Aceh,Kabupaten Aceh Utara,10108221,SMKS TERPADU AL AZHAR,Teknik Audio Video,Layanan Penunjang Keperawatan dan cargiving,,,
53,Aceh,Kabupaten Aceh Utara,69988419,SMK Al Fhattani,Desain dan Produksi Busana,,,,
54,Aceh,Kabupaten Aceh Utara,69970964,SMKS Kafilul Yatim,Teknik Sepeda Motor,,,,
55,Aceh,Kabupaten Bener Meriah,69972330,SMKN 5 BENER MERIAH,Teknik Kendaraan Ringan,Agribisnis Pengolahan Hasil Pertanian,,,
56,Aceh,Kabupaten Bireuen,10107107,SMK NEGERI 1 JEUNIEB,TEKNIKA KAPAL PENANGKAPAN IKAN ( TKPI),,,,
57,Aceh,Kabupaten Bireuen,69945354,SMK SWASTA AL-HIDAYAH,Desain dan Produksi Busana,,,,
58,Aceh,Kabupaten Bireuen,10107109,SMK NEGERI 1 JEUMPA,Teknik Sepeda Motor,,,,
59,Aceh,Kabupaten Bireuen,10103755,SMK Kesehatan Muhammadiyah Bireuen,LAYANAN PENUNJANG KEPERAWATAN DAN CAREGIVING,,,,
60,Aceh,Kabupaten Bireuen,10113428,SMK-PP NEGERI BIREUEN,Agribisnis Tanaman Pangan dan Hortikultura,,,,
61,Aceh,Kabupaten Gayo Lues,10104541,SMK NEGERI 1 GAYO LUES,Teknik Kendaraan Ringan,,,,
62,Aceh,Kabupaten Pidie,10100635,SMK NEGERI 1 SIGLI,Desain dan Produksi Busana,Kuliner,Desain Komunikasi Visual,,
63,Aceh,Kabupaten Pidie,10100633,SMKS LILAWANGSA SIGLI,farmasi klinis dan komunitas,,,,
64,Aceh,Kabupaten Pidie,69753602,SMK NEGERI MANE,Teknik Sepeda Motor,,,,
65,Aceh,Kabupaten Pidie,10110275,SMK NEGERI 3 SIGLI,Teknik Komputer dan Jaringan,Desain Komunikasi Visual (DKV),,,
66,Aceh,Kabupaten Pidie Jaya,10111806,SMK NEGERI 1 BANDAR DUA,Teknik Kendaraan Ringan,Tata Busana,,,
67,Aceh,Kabupaten Pidie Jaya,10112857,SMK NEGERI ULIM,Teknik Sepeda Motor,Teknik Sepeda Motor,Ternak Unggas,,
68,Aceh,Kabupaten Pidie Jaya,69972006,SMK BUDI,Teknik Instalasi Tenaga Listrik,,,,
69,Aceh,Kabupaten Pidie Jaya,10112856,SMKN TRIENGGADENG,Teknik Sepeda Motor,ATP,,,
70,Aceh,Kabupaten Pidie Jaya,69950731,SMK UMMUL AYMAN 2,Desain dan Produksi Busana,,,,
71,Aceh,Kabupaten Simeulue,10112509,SMK NEGERI 1 SALANG,AGRIBISNIS TERNAK UNGGAS,,,,
72,Aceh,Kabupaten Simeulue,10103348,SMK Negeri 2 Sinabang,Teknik Kendaraan Ringan,,,,
73,Aceh,Kabupaten Simeulue,10111947,SMK NEGERI 1 TEUPAH TENGAH,Agribisnis Tanaman Pangan dan Hortikultura,,,,
74,Aceh,Kabupaten Simeulue,69896252,SMK NEGERI 1 SIMEULUE CUT,Agribisnis Tanaman Pangan dan Hortikultura,,,,
75,Aceh,Kota Langsa,10105724,SMK NEGERI 2 LANGSA,Teknik Kendaraan Ringan (TKR),Teknik Elektronika Industri,TPTU,,
76,Aceh,Kota Langsa,10113917,SMK NEGERI 6 LANGSA,Layanan Penunjang Keperawatan dan caregiving,,,,
77,Aceh,Kota Langsa,10107115,SMK NEGERI 5 LANGSA,Teknik Jaringan Akses Telekomunikasi,,,,
78,Aceh,Kota Lhokseumawe,10105628,SMK NEGERI 4 LHOKSEUMAWE,Teknik Kendaraan Ringan,"Teknik Energi Surya, Hidro, dan Angin",,,
79,Aceh,Kota Lhokseumawe,10105629,SMKS KARYA BERINGIN,Teknik Sepeda Motor,,,,
80,Aceh,Kota Lhokseumawe,10110714,SMKN 5 LHOKSEUMAWE,Design Pemodelan dan Informasi Bangunan,,,,
81,Aceh,Kota Lhokseumawe,10111838,SMK NEGERI 7 LHOKSEUMAWE,Teknik Sepeda Motor,Teknik Kendaraan Ringan,,,
82,Aceh,Kota Lhokseumawe,10110650,SMKS ULUMUDDIN,Desain Komunikasi Visual (DKV),,,,
