no,provinsi,kabupaten,npsn,nama_sekolah,slot_1_csv,slot_1_status,slot_1_kode_kk,slot_1_nama_kk,slot_1_score,slot_2_csv,slot_2_status,slot_2_kode_kk,slot_2_nama_kk,slot_2_score,slot_3_csv,slot_3_status,slot_3_kode_kk,slot_3_nama_kk,slot_3_score,slot_4_csv,slot_4_status,slot_4_kode_kk,slot_4_nama_kk,slot_4_score,slot_5_csv,slot_5_status,slot_5_kode_kk,slot_5_nama_kk,slot_5_score
20,Sumatera Utara,Kota Medan,69727923,SMK NEGERI 14 MEDAN,Elektronika Industri,DIJADIKAN SESUAI,2.5.3,Teknik Elektronika Industri,96,Teknik Instalasi Tenaga Listrik,MATCHED EXACT,3.1.1,Teknik Instalasi Tenaga Listrik,100,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,,KOSONG,,,0,,KOSONG,,,0
21,Sumatera Utara,Kabupaten Langkat,69924677,SMK SWASTA MUHAMMAD YAASIIN SEI LEPAN,Teknik Komputer Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
22,Aceh,Kabupaten Aceh Barat Daya,10104846,SMK NEGERI 1 ACEH BARAT DAYA,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Teknik Instalasi Tenaga Listrik,MATCHED EXACT,3.1.1,Teknik Instalasi Tenaga Listrik,100,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,,KOSONG,,,0
23,Aceh,Kabupaten Aceh Barat Daya,10110534,SMK NEGERI 4 ACEH BARAT DAYA,Teknik Pengelasan,MATCHED EXACT,2.3.1,Teknik Pengelasan,100,Agribisnis Pengolahan Hasil Pertanian,MATCHED EXACT,6.5.1,Agribisnis Pengolahan Hasil Pertanian,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
24,Aceh,Kabupaten Aceh Besar,60729112,SMKN 1  LHOKNGA,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
25,Aceh,Kabupaten Aceh Selatan,10113369,SMKS HIDAYATUL ANAM,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
26,Aceh,Kabupaten Aceh Singkil,69947031,SMK Swasta Muhammadiyah Singkil,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
27,Aceh,Kabupaten Aceh Tamiang,10108048,SMK NEGERI 2 KARANG BARU,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Teknik Pengelasan,MATCHED EXACT,2.3.1,Teknik Pengelasan,100,Teknik Mekatronika,MATCHED EXACT,2.5.2,Teknik Mekatronika,100,Teknik Instalasi Tenaga Listrik,MATCHED EXACT,3.1.1,Teknik Instalasi Tenaga Listrik,100
28,Aceh,Kabupaten Aceh Tamiang,10110624,SMK NEGERI 1 BENDAHARA,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Neutika Kapal,DIJADIKAN SESUAI,7.4.1,Nautika Kapal Niaga,97,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
29,Aceh,Kabupaten Aceh Tamiang,69966741,SMKS Sabilul Ulum,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
30,Aceh,Kabupaten Aceh Tamiang,10107161,SMKS SYUKRONIYAH,Teknik pengelasan,MATCHED EXACT,2.3.1,Teknik Pengelasan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
31,Aceh,Kabupaten Aceh Tamiang,10107158,SMKN 1 KARANG BARU,Rekayasa Perangkat Lunak (RPL),DIJADIKAN SESUAI,4.1.1,Rekayasa Perangkat Lunak,92,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
32,Aceh,Kabupaten Aceh Tamiang,10104267,SMK SWASTA MAIMUN HABSYAH KUALA SIMPANG,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
33,Aceh,Kabupaten Aceh Tamiang,10108049,SMK NEGERI 3 KARANG BARU,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,Kuliner,MATCHED EXACT,9.3.1,Kuliner,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
34,Aceh,Kabupaten Aceh Tamiang,70005918,SMK SWASTA MISRA,DESAIN KOMUNIKASI VISUAL,MATCHED EXACT,10.2.1,Desain Komunikasi Visual,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
35,Aceh,Kabupaten Aceh Timur,10111334,SMK NEGERI 2 PEUREULAK,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Pengelasan,DIJADIKAN SESUAI,2.3.1,Teknik Pengelasan,95,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
36,Aceh,Kabupaten Aceh Timur,10113344,SMK NEGERI 1 PEUREULAK,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
37,Aceh,Kabupaten Aceh Timur,69946304,SMK NEGERI 1 INDRA MAKMU,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
38,Aceh,Kabupaten Aceh Timur,10110606,SMK NEGERI 1 SIMPANG ULIM,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0
39,Aceh,Kabupaten Aceh Timur,10113373,SMK NEGERI 1 PANTE BIDARI,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,Audio Visual,DIJADIKAN SESUAI,2.5.1,Teknik Audio Video,96,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
40,Aceh,Kabupaten Aceh Timur,10111584,SMK NEGERI 1 LOKOP,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
41,Aceh,Kabupaten Aceh Timur,69990050,SMK NEGERI 1 NURUSSALAM,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,Teknik Instalasi Tenaga Listrik,MATCHED EXACT,3.1.1,Teknik Instalasi Tenaga Listrik,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
42,Aceh,Kabupaten Aceh Timur,10112170,SMK NEGERI 1 JULOK,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
