No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,Pagu persiapan,Pagu pelatihan,Pagu Alat,Paagu Final
46,Aceh,Kabupaten Aceh Utara,10106278,SMK NEGERI 1 MUARA BATU,"9,160,000","60,000,000","4,340,000,000","4,409,160,000"
47,Aceh,Kabupaten Aceh Utara,10108220,SMK NEGERI 1 SYAMTALIRA ARON,"9,160,000","50,000,000","3,350,000,000","3,409,160,000"
48,Aceh,Kabupaten Aceh Utara,69726919,SMK SWASTA HUMANIORA,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
49,Aceh,Kabupaten Aceh Utara,70035709,SMK SWASTA ANEUK LAOT,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
50,Aceh,Kabupaten Aceh Utara,70036211,SMK Swasta IT Manahilul Irfan,"9,160,000","20,000,000","1,780,000,000","1,809,160,000"
51,Aceh,Kabupaten Aceh Utara,70006104,SMK SWASTA NURUL YAQIN,"9,160,000","20,000,000","1,780,000,000","1,809,160,000"
52,Aceh,Kabupaten Aceh Utara,10108221,SMKS TERPADU AL AZHAR,"9,160,000","20,000,000","1,580,000,000","1,609,160,000"
53,Aceh,Kabupaten Aceh Utara,69988419,SMK Al Fhattani,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
54,Aceh,Kabupaten Aceh Utara,69970964,SMKS Kafilul Yatim,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
55,Aceh,Kabupaten Bener Meriah,69972330,SMKN 5 BENER MERIAH,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
56,Aceh,Kabupaten Bireuen,10107107,SMK NEGERI 1 JEUNIEB,"9,160,000","80,000,000","5,520,000,000","5,609,160,000"
57,Aceh,Kabupaten Bireuen,69945354,SMK SWASTA AL-HIDAYAH,"9,160,000","70,000,000","4,730,000,000","4,809,160,000"
58,Aceh,Kabupaten Bireuen,10107109,SMK NEGERI 1 JEUMPA,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
59,Aceh,Kabupaten Bireuen,10103755,SMK Kesehatan Muhammadiyah Bireuen,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
60,Aceh,Kabupaten Bireuen,10113428,SMK-PP NEGERI BIREUEN,"9,160,000","30,000,000","2,370,000,000","2,409,160,000"
61,Aceh,Kabupaten Gayo Lues,10104541,SMK NEGERI 1 GAYO LUES,"9,160,000","70,000,000","4,730,000,000","4,809,160,000"
62,Aceh,Kabupaten Pidie,10100635,SMK NEGERI 1 SIGLI,"9,160,000","70,000,000","4,830,000,000","4,909,160,000"
63,Aceh,Kabupaten Pidie,10100633,SMKS LILAWANGSA SIGLI,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
64,Aceh,Kabupaten Pidie,69753602,SMK NEGERI MANE,"9,160,000","50,000,000","3,550,000,000","3,609,160,000"
65,Aceh,Kabupaten Pidie,10110275,SMK NEGERI 3 SIGLI,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
66,Aceh,Kabupaten Pidie Jaya,10111806,SMK NEGERI 1 BANDAR DUA,"9,160,000","70,000,000","5,530,000,000","5,609,160,000"
67,Aceh,Kabupaten Pidie Jaya,10112857,SMK NEGERI ULIM,"9,160,000","60,000,000","4,540,000,000","4,609,160,000"
68,Aceh,Kabupaten Pidie Jaya,69972006,SMK BUDI,"9,160,000","50,000,000","3,750,000,000","3,809,160,000"
69,Aceh,Kabupaten Pidie Jaya,10112856,SMKN TRIENGGADENG,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
